Region,Country,Capital,
Europe,Albania,Tirana,
Europe,Andorra,Andorra la Vella,
Europe,Armenia,Yerevan,
Europe,Austria,Vienna,
Europe,Azerbaijan,Baku,
Europe,Belarus,Minsk,
Europe,Belgium,Brussels,
Europe,Bosnia and Herzegovina,Sarajevo,
Europe,Bulgaria,Sofia,
Europe,Croatia,Zagreb,
Europe,Cyprus,Nicosia,
Europe,Czech Republic,Prague,
Europe,Denmark,Copenhagen,
Europe,Estonia,Tallinn,
Europe,Finland,Helsinki,
Europe,France,Paris,
Europe,Georgia,Tbilisi,
Europe,Germany,Berlin,
Europe,Greece,Athens,
Europe,Hungary,Budapest,
Europe,Iceland,Reykjavik,
Europe,Ireland,Dublin,
Europe,Italy,Rome,
Europe,Kazakhstan,Astana,
Europe,Kosovo,Pristina,
Europe,Latvia,Riga,
Europe,Liechtenstein,Vaduz,
Europe,Lithuania,Vilnius,
Europe,Luxembourg,Luxembourg,
Europe,Macedonia,Skopje,
Europe,Malta,Valletta,
Europe,Moldova,Chisinau,
Europe,Monaco,Monaco,
Europe,Montenegro,Podgorica,
Europe,Netherlands,Amsterdam,
Europe,Norway,Oslo,
Europe,Poland,Warsaw,
Europe,Portugal,Lisbon,
Europe,Romania,Bucharest,
Europe,Russia,Moscow,
Europe,San Marino,San Marino,
Europe,Serbia,Belgrade,
Europe,Slovakia,Bratislava,
Europe,Slovenia,Ljubljana,
Europe,Spain,Madrid,
Europe,Sweden,Stockholm,
Europe,Switzerland,Bern,
Europe,Turkey,Ankara,
Europe,Ukraine,Kyiv,
Europe,United Kingdom,London,
Europe,Vatican City (Holy See),Vatican City
